"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"NSH","2007-10-04","2007020010","20072008","COL","1",46.33,100,44.28,49.42,52.18,41.87,2.96,0,24.61,30.97,35.61,36.45,48.94,44.85,1.67,2.32,2.96,-6.36,-0.84,4.09,-0.65
"NSH","2007-10-06","2007020029","20072008","DAL","1",37.87,74.27,46.79,40.84,42.92,42.29,2.92,1.01,17.16,19.51,19.31,27.97,26.15,34.78,1.54,2.1,1.91,-2.35,-8.66,-8.63,-0.56
"NSH","2007-10-10","2007020048","20072008","STL","0",38.58,20.56,39.96,43.4,52.51,43.46,1.01,3.91,15,22.54,21.55,28.11,33.04,29.88,1.26,1.64,-2.9,-7.54,-6.56,3.16,-0.38
"NSH","2007-10-11","2007020056","20072008","ARI","1",38.3,30.45,52.84,54.77,52.85,44.82,0.94,2.14,21.82,19.48,29.06,24,39.52,35.26,1.31,1.62,-1.2,2.34,5.06,4.26,-0.3
"NSH","2007-10-13","2007020070","20072008","CGY","1",45.92,26.02,38.89,39.52,40.72,33.78,1.88,5.34,15.36,24.14,20.8,31.83,26.84,39.08,0.85,1.66,-3.46,-8.78,-11.03,-12.24,-0.81
"NSH","2007-10-17","2007020088","20072008","ANA","0",50.08,26.02,43.75,48,49.57,50.89,1.01,2.88,22.84,29.37,31.8,34.44,41.23,41.95,1.46,1.41,-1.87,-6.53,-2.64,-0.72,0.05
"NSH","2007-10-20","2007020114","20072008","S.J","0",34.22,0,58.73,54.35,55.39,57.88,0,0.99,15.86,11.15,22.93,19.26,30.51,24.58,1.1,0.8,-0.99,4.72,3.67,5.94,0.3
"NSH","2007-10-23","2007020125","20072008","L.A","0",50.72,0,33.53,35.32,32.78,30.71,0,3.91,14.89,29.5,21.33,39.06,27.32,56.02,1.21,2.72,-3.91,-14.62,-17.74,-28.7,-1.52
"NSH","2007-10-25","2007020136","20072008","ATL","1",49.6,100,64.64,61.75,57.13,68.77,1.93,0,29.64,16.22,42.02,26.03,53.16,39.89,2.68,1.22,1.93,13.43,15.99,13.27,1.46
"NSH","2007-10-27","2007020152","20072008","FLA","1",41.27,100,55.45,56.09,53.76,44.78,3.77,0,20.39,16.38,27.36,21.42,33.15,28.51,1.39,1.72,3.77,4.01,5.94,4.64,-0.32
"NSH","2007-10-30","2007020166","20072008","CGY","0",40.43,0,54.3,54.12,52.51,50.99,0,2.96,23.71,19.96,31.08,26.35,38.18,34.53,2.4,2.3,-2.96,3.75,4.74,3.65,0.09
"NSH","2007-11-01","2007020180","20072008","VAN","0",39.33,100,36.32,45.63,48.37,55.11,1.07,0,11.37,19.93,21.86,26.04,31.5,33.63,1.34,1.09,1.07,-8.56,-4.18,-2.13,0.25
