"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"NYR","2007-10-04","2007020007","20072008","FLA","1",47.93,69.86,41.97,46.52,43.46,38.1,4.8,2.07,19.74,27.29,32.61,37.49,37.52,48.81,2.3,3.73,2.73,-7.56,-4.88,-11.29,-1.43
"NYR","2007-10-06","2007020023","20072008","OTT","0",44.23,0,49.5,48.1,49.25,42.39,0,0.99,26.32,26.84,33.89,36.57,46.01,47.41,1.62,2.2,-0.99,-0.53,-2.68,-1.4,-0.58
"NYR","2007-10-10","2007020040","20072008","NYI","0",38.57,100,60.25,57.94,56.17,62.85,1.01,0,24.07,15.88,31.24,22.68,41.98,32.76,1.37,0.81,1.01,8.19,8.56,9.23,0.56
"NYR","2007-10-12","2007020057","20072008","WSH","1",37.57,0,54.24,52.15,52.84,55.97,0,0,21.36,18.02,28.8,26.42,38.25,34.14,1.45,1.14,0,3.34,2.38,4.11,0.31
"NYR","2007-10-13","2007020066","20072008","OTT","1",40.5,30.45,38.52,48.35,49.24,48.55,0.94,2.14,17.15,27.37,29.79,31.81,36.77,37.91,2.46,2.61,-1.2,-10.22,-2.03,-1.14,-0.15
"NYR","2007-10-18","2007020092","20072008","ATL","0",40.98,0,45.8,48.2,44.19,35.97,0,1.93,17.12,20.26,21.98,23.62,26.12,33,1.16,2.06,-1.93,-3.14,-1.64,-6.88,-0.91
"NYR","2007-10-20","2007020102","20072008","BOS","0",34.97,0,62.06,61.04,57.52,87.55,0,0,17.49,10.69,22.75,14.52,28.9,21.34,1.56,0.22,0,6.8,8.23,7.56,1.34
"NYR","2007-10-23","2007020120","20072008","PIT","0",42.58,0,60.28,64.58,63.02,53.2,0,0,24.59,16.2,42.35,23.23,50.62,29.71,1.4,1.24,0,8.39,19.12,20.92,0.17
"NYR","2007-10-25","2007020132","20072008","N.J","1",43.43,100,59.69,51.82,55.13,66.7,0.94,0,22.79,15.39,24.86,23.12,32.61,26.54,1.74,0.87,0.94,7.4,1.74,6.07,0.87
"NYR","2007-10-27","2007020149","20072008","TOR","1",48.02,23.11,54.89,50.68,49.99,43.83,0.94,3.14,24.68,20.28,34.5,33.57,43.29,43.31,1.98,2.53,-2.2,4.4,0.93,-0.02,-0.56
"NYR","2007-10-29","2007020160","20072008","T.B","1",42.98,100,56.58,61.66,59.35,70.81,0.94,0,20.67,15.86,30.56,19,41.95,28.73,2.37,0.98,0.94,4.81,11.56,13.22,1.39
"NYR","2007-11-01","2007020174","20072008","WSH","1",46.83,100,43.61,46.17,38.69,43.99,0.94,0,17.69,22.88,25.76,30.04,32.81,51.99,2.15,2.73,0.94,-5.19,-4.27,-19.18,-0.59
"NYR","2007-11-03","2007020191","20072008","N.J","1",49.77,48.29,43.1,46.1,47.91,33.95,0.94,1.01,19.44,25.66,30.01,35.09,40.74,44.3,1.7,3.3,-0.07,-6.22,-5.08,-3.56,-1.61
"NYR","2007-11-05","2007020203","20072008","PHI","1",45.48,0,56.31,60.96,52.83,53,0,0,32.01,24.84,45.01,28.83,51.68,46.15,2.79,2.47,0,7.17,16.18,5.53,0.32
