"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"DET","2007-10-03","2007020004","20072008","ANA","1",41.42,0,75.7,72.85,69.4,71.11,0,1.01,21.86,7.01,32.59,12.14,36.76,16.21,1.8,0.73,-1.01,14.84,20.45,20.55,1.07
"DET","2007-10-06","2007020031","20072008","CHI","0",45.02,0,56.1,57.29,53.9,60.64,0,1.88,18.6,14.55,25.43,18.96,30.39,26,1.2,0.78,-1.88,4.04,6.47,4.4,0.42
"DET","2007-10-08","2007020038","20072008","EDM","1",43.8,32.8,61.73,65.23,63.59,68.7,0.99,2.02,22.95,14.23,35.57,18.96,45.67,26.15,2.56,1.17,-1.04,8.72,16.61,19.52,1.39
"DET","2007-10-10","2007020045","20072008","CGY","1",51.48,31.83,59.82,57.11,52.81,51.75,0.94,2.02,24.82,16.67,32.7,24.56,39.08,34.91,1.55,1.44,-1.08,8.15,8.14,4.16,0.1
"DET","2007-10-12","2007020058","20072008","CHI","1",38.23,65.64,72.65,69.03,67.26,70.87,1.93,1.01,27.07,10.19,34.06,15.28,41.58,20.24,1.77,0.73,0.92,16.88,18.78,21.34,1.04
"DET","2007-10-14","2007020077","20072008","L.A","0",44.58,100,64.65,69.69,70.93,66.44,2.14,0,25.51,13.95,44.8,19.48,62.38,25.56,2.12,1.07,2.14,11.56,25.31,36.82,1.05
"DET","2007-10-15","2007020080","20072008","ANA","0",27.38,100,48.8,51.99,53.6,49.57,1.01,0,12.62,13.24,16.56,15.29,19.16,16.59,0.78,0.79,1.01,-0.62,1.27,2.57,-0.01
"DET","2007-10-18","2007020097","20072008","S.J","0",40.53,68.85,47.3,50.62,52.51,64.76,2.07,0.94,17.45,19.44,23.9,23.32,35.38,32,1.7,0.93,1.14,-1.99,0.58,3.38,0.78
"DET","2007-10-20","2007020113","20072008","ARI","0",43.08,69.12,66.86,64.2,60.87,66.58,4.22,1.88,30.39,15.06,36.74,20.49,46.02,29.58,2.15,1.08,2.33,15.32,16.25,16.44,1.07
"DET","2007-10-24","2007020129","20072008","VAN","1",43.82,65.64,79.19,73.22,73.76,80.69,1.93,1.01,29.63,7.79,34.62,12.66,43.27,15.4,1.98,0.47,0.92,21.84,21.96,27.88,1.51
"DET","2007-10-26","2007020143","20072008","S.J","1",44.95,100,75.58,70.89,68.93,74.27,4.9,0,28.95,9.35,36.46,14.97,42.78,19.28,2.51,0.87,4.9,19.6,21.48,23.5,1.64
"DET","2007-10-28","2007020159","20072008","VAN","0",46.38,62.47,56.06,60,57.93,54.54,3.13,1.88,27.58,21.61,41.96,27.98,52.13,37.85,2.28,1.9,1.25,5.96,13.98,14.28,0.38
"DET","2007-10-30","2007020167","20072008","EDM","0",48.73,53.08,64.64,55.33,56.72,69.72,1.06,0.94,24.77,13.55,31.1,25.11,39.31,30,1.92,0.84,0.12,11.22,5.99,9.31,1.09
"DET","2007-11-01","2007020179","20072008","CGY","0",42.53,69.29,57.34,56.04,55.83,46.2,2.13,0.94,19.45,14.48,27.46,21.54,39.17,30.99,0.99,1.16,1.19,4.98,5.92,8.18,-0.16
"DET","2007-11-07","2007020216","20072008","NSH","1",38.33,0,59.23,59.81,56.37,38.75,0,2.02,27.78,19.12,37.18,24.99,45.22,34.99,1.73,2.74,-2.02,8.66,12.19,10.23,-1.01
"DET","2007-11-09","2007020230","20072008","CBJ","1",37.53,100,75.8,71.57,65.93,71.7,1.98,0,24.3,7.76,32.32,12.83,37.81,19.54,1.31,0.52,1.98,16.54,19.48,18.27,0.8
"DET","2007-11-11","2007020245","20072008","CHI","0",37.65,68.17,56.39,50.41,57.96,62.57,2.02,0.94,20.11,15.55,21.16,20.82,29.21,21.19,1.16,0.69,1.08,4.56,0.35,8.03,0.46
"DET","2007-11-13","2007020253","20072008","STL","0",42.8,62.01,76.59,69.95,73.51,73.96,3.14,1.93,26.25,8.03,34.63,14.88,47.19,17,1.63,0.57,1.22,18.23,19.75,30.18,1.05
"DET","2007-11-17","2007020283","20072008","CHI","1",46.2,65.04,70.41,71.18,71.19,57.78,1.88,1.01,26.04,10.94,37.5,15.18,52.84,21.38,1.95,1.43,0.87,15.1,22.32,31.46,0.53
"DET","2007-11-18","2007020288","20072008","CBJ","0",49.63,68.69,45.47,45.05,50.35,35.62,2.07,0.94,23.43,28.11,30.78,37.56,47.61,46.94,1.17,2.11,1.13,-4.67,-6.77,0.67,-0.94
"DET","2007-11-21","2007020307","20072008","STL","1",39.93,100,84.14,83.29,82.29,83.94,0.99,0,30.03,5.66,37.54,7.53,47.05,10.13,2.44,0.47,0.99,24.37,30.01,36.92,1.98
"DET","2007-11-22","2007020312","20072008","NSH","0",37.6,0,36.81,37.53,44.36,32.93,0,1.88,11.91,20.44,15.93,26.52,26.74,33.54,0.87,1.77,-1.88,-8.54,-10.59,-6.79,-0.9
"DET","2007-11-24","2007020329","20072008","CBJ","0",50.65,34.36,48.09,56.07,56.76,50.4,1.01,1.93,18.14,19.58,31.51,24.69,43.26,32.96,1.58,1.55,-0.92,-1.44,6.82,10.3,0.03
"DET","2007-11-27","2007020345","20072008","CGY","1",40.92,65.05,63.07,61.89,62.3,54.21,3.86,2.07,23.55,13.79,28.83,17.75,37.73,22.83,1.2,1.01,1.79,9.76,11.08,14.9,0.19
"DET","2007-11-29","2007020361","20072008","T.B","1",48.58,59.07,65.67,69.68,69.76,75.2,2.92,2.02,37.08,19.38,48.81,21.24,58.62,25.41,3.49,1.15,0.9,17.7,27.57,33.2,2.34
"DET","2007-12-01","2007020378","20072008","ARI","1",48.4,31.15,55.9,60.56,57.28,60.31,0.94,2.07,31.85,25.12,47.89,31.2,55.33,41.27,2.94,1.94,-1.14,6.73,16.7,14.06,1.01
"DET","2007-12-04","2007020392","20072008","MTL","0",42.33,77.29,73.85,74.12,74.41,72.55,3.19,0.94,31.44,11.13,42.27,14.76,55.88,19.22,2.42,0.92,2.26,20.31,27.51,36.66,1.51
"DET","2007-12-07","2007020415","20072008","MIN","1",46.37,100,68.83,63.9,65.78,53.62,1.93,0,29.39,13.31,36.76,20.77,48.06,25.01,1.51,1.31,1.93,16.08,16,23.05,0.2
"DET","2007-12-09","2007020431","20072008","CAR","1",39.8,79.25,73.58,75.41,72.71,76.13,3.87,1.01,24.39,8.76,35.76,11.66,43.34,16.26,2.2,0.69,2.85,15.63,24.1,27.08,1.51
"DET","2007-12-10","2007020438","20072008","NSH","0",34.97,100,63.06,61.46,61.78,54.76,1.06,0,28.34,16.6,36.41,22.83,42.29,26.17,1.77,1.46,1.06,11.74,13.58,16.12,0.31
"DET","2007-12-13","2007020458","20072008","EDM","1",47.6,47.02,55.93,55.5,56.61,48.25,1.88,2.12,25.61,20.18,31.97,25.63,39.18,30.03,1.65,1.77,-0.24,5.43,6.34,9.15,-0.12
"DET","2007-12-15","2007020474","20072008","FLA","1",47.7,31.31,51.84,51.94,57.54,43.9,0.94,2.07,30.88,28.69,40.81,37.76,54.72,40.38,1.79,2.29,-1.13,2.19,3.05,14.34,-0.5
"DET","2007-12-17","2007020485","20072008","WSH","1",41.83,47.11,43.35,42.06,43.64,41.76,0.94,1.06,17.46,22.82,24.12,33.23,28.12,36.32,1.3,1.81,-0.12,-5.36,-9.11,-8.2,-0.51
"DET","2007-12-19","2007020499","20072008","L.A","1",45.17,79.44,64.41,68.3,68.05,70.06,3.91,1.01,25.39,14.03,42.58,19.76,53.48,25.11,2.47,1.06,2.9,11.36,22.82,28.37,1.41
"DET","2007-12-20","2007020508","20072008","STL","0",42.48,68.69,61.76,60.82,61.87,57.02,2.07,0.94,24.1,14.92,35.35,22.78,42.06,25.92,1.71,1.29,1.13,9.18,12.57,16.14,0.42
"DET","2007-12-22","2007020525","20072008","MIN","0",45.08,100,71.07,71.93,66.12,71.07,3.21,0,33.2,13.52,41.39,16.16,45.24,23.18,2.03,0.83,3.21,19.69,25.24,22.06,1.2
"DET","2007-12-26","2007020542","20072008","STL","0",46.6,100,63.35,63.4,58.01,60.76,3.2,0,22.96,13.29,34.81,20.1,39.15,28.33,1.93,1.25,3.2,9.68,14.72,10.82,0.68
"DET","2007-12-27","2007020551","20072008","COL","0",48.92,62.99,61.61,63.33,61.63,55.88,3.19,1.88,26.71,16.65,33.37,19.33,42.45,26.43,1.61,1.27,1.32,10.07,14.05,16.02,0.34
"DET","2007-12-29","2007020570","20072008","ARI","0",48.57,69.35,53.55,60.84,61.34,56.09,2.12,0.94,33.66,29.2,49.64,31.95,62.65,39.49,2.19,1.72,1.18,4.46,17.7,23.16,0.48
"DET","2007-12-31","2007020578","20072008","STL","1",41.38,0,61.7,59.99,63.41,55.39,0,1.06,20.13,12.49,31.47,20.99,43.91,25.34,1.65,1.33,-1.06,7.63,10.48,18.57,0.32
"DET","2008-01-02","2007020590","20072008","DAL","1",50.37,79.44,51.4,54.49,55.89,41.11,3.91,1.01,18.97,17.93,29.48,24.63,38.72,30.56,1.02,1.47,2.9,1.04,4.86,8.16,-0.44
"DET","2008-01-05","2007020610","20072008","DAL","0",51.67,100,49.05,53.2,51.27,51.67,2.13,0,17.6,18.28,28.91,25.43,40.77,38.74,1.17,1.1,2.13,-0.68,3.48,2.02,0.08
"DET","2008-01-06","2007020623","20072008","CHI","0",52,69.45,64.7,61.15,56.19,66.75,2.13,0.94,27.5,15.01,28.92,18.37,33.06,25.78,2.05,1.02,1.19,12.5,10.55,7.28,1.03
"DET","2008-01-08","2007020633","20072008","COL","1",50.85,100,53.68,55.44,60.81,50.33,0.94,0,19.76,17.05,28.83,23.17,46.67,30.08,1.51,1.49,0.94,2.71,5.66,16.59,0.02
"DET","2008-01-10","2007020647","20072008","MIN","1",44.57,46.85,55.83,55.67,56.8,54.68,3.76,4.26,24.02,19,34.41,27.4,42.91,32.63,1.66,1.37,-0.51,5.02,7.01,10.28,0.28
"DET","2008-01-12","2007020659","20072008","OTT","0",41.1,50.6,41.81,46.11,43.99,31.25,1.01,0.99,17.28,24.06,25.09,29.32,30.31,38.59,1.01,2.23,0.02,-6.77,-4.23,-8.28,-1.22
"DET","2008-01-15","2007020680","20072008","ATL","1",49.3,30.45,69.66,68.65,70.06,68.19,0.94,2.14,37.02,16.12,50.78,23.19,63.85,27.28,3.06,1.43,-1.2,20.89,27.59,36.57,1.63
"DET","2008-01-17","2007020694","20072008","VAN","1",49.95,48.85,61.21,59.1,58.32,58.97,1.93,2.02,39.03,24.74,51.88,35.91,59.6,42.59,2.91,2.02,-0.09,14.3,15.97,17.01,0.88
"DET","2008-01-19","2007020715","20072008","S.J","0",44.7,100,64.83,59.99,59.01,62.59,3.19,0,16.44,8.92,25.32,16.89,33.04,22.95,1.42,0.85,3.19,7.52,8.43,10.09,0.57
"DET","2008-01-22","2007020736","20072008","L.A","0",49.88,100,55.36,55.82,57.58,52.33,3.2,0,27.12,21.87,39.9,31.58,50.78,37.41,1.87,1.7,3.2,5.25,8.32,13.37,0.17
"DET","2008-01-23","2007020740","20072008","ANA","0",41.27,100,62.25,59.32,59.99,59.23,1.07,0,28.75,17.43,41.24,28.28,47.42,31.63,2.28,1.57,1.07,11.31,12.96,15.8,0.71
"DET","2008-01-30","2007020767","20072008","ARI","1",51.75,57.7,51.77,51.29,51.48,42.91,2.83,2.07,32.4,30.18,41,38.93,51.59,48.62,1.89,2.51,0.75,2.22,2.07,2.97,-0.62
"DET","2008-02-01","2007020781","20072008","COL","1",44.52,100,63.94,60.51,61.65,64.19,0.94,0,23.33,13.15,32.91,21.48,42.68,26.55,1.27,0.71,0.94,10.17,11.43,16.13,0.56
"DET","2008-02-02","2007020785","20072008","BOS","0",47.88,68.69,54.08,50.13,48.35,54.06,2.07,0.94,21.83,18.54,28.22,28.07,37.69,40.27,1.36,1.15,1.13,3.29,0.15,-2.57,0.2
"DET","2008-02-05","2007020809","20072008","MIN","0",50.43,68.69,59.78,58.36,54.43,51.84,2.07,0.94,29.67,19.96,41.86,29.87,49.28,41.26,1.52,1.41,1.13,9.71,12,8.02,0.11
"DET","2008-02-07","2007020822","20072008","L.A","1",45.63,48.18,57.2,62.54,65.83,46.52,2.88,3.1,23.77,17.79,36.1,21.62,52.29,27.15,1.47,1.69,-0.22,5.98,14.47,25.14,-0.22
"DET","2008-02-09","2007020833","20072008","TOR","0",53.22,68.85,60.68,67.8,69,78.4,2.07,0.94,32.11,20.81,52.14,24.76,70.97,31.88,2.3,0.63,1.14,11.3,27.37,39.08,1.67
"DET","2008-02-10","2007020845","20072008","ANA","1",42.22,0,54.01,57.25,54.43,52.49,0,2.08,17.28,14.71,29.78,22.24,31.6,26.45,1.3,1.18,-2.08,2.56,7.54,5.14,0.12
"DET","2008-02-12","2007020856","20072008","NSH","0",38.83,0,60.04,55.7,58.07,39.55,0,3.91,24.14,16.06,29.69,23.62,38.12,27.53,1.08,1.65,-3.91,8.07,6.07,10.6,-0.57
