"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"BUF","2007-10-05","2007020017","20072008","NYI","1",48.08,63.96,37.97,39.09,41.34,39.74,3.77,2.12,17.38,28.39,23.11,36.01,29.81,42.3,1.23,1.86,1.64,-11.01,-12.9,-12.49,-0.63
"BUF","2007-10-06","2007020024","20072008","NYI","0",32.82,34.36,60.39,59.7,60.68,63.37,1.01,1.93,22.52,14.77,30.7,20.73,38.3,24.82,2.74,1.58,-0.92,7.75,9.98,13.48,1.16
"BUF","2007-10-11","2007020052","20072008","ATL","1",31.52,100,54.58,52.94,54.68,63.84,1.98,0,13.18,10.97,14.35,12.75,21.57,17.88,1.21,0.68,1.98,2.21,1.59,3.69,0.52
"BUF","2007-10-13","2007020063","20072008","WSH","1",39.97,65.35,70.35,64.24,62.71,63.27,3.91,2.07,33.88,14.28,39.46,21.96,48.73,28.97,2.41,1.4,1.84,19.6,17.49,19.75,1.01
"BUF","2007-10-15","2007020078","20072008","TOR","1",41.98,46.86,54.36,53.42,47.65,46.45,3.75,4.25,20.44,17.16,28.73,25.05,33,36.26,1.82,2.1,-0.5,3.28,3.68,-3.26,-0.28
"BUF","2007-10-19","2007020098","20072008","CBJ","1",37.12,0,41.95,46.12,41.5,56.29,0,0,14.09,19.49,21.42,25.02,25.84,36.43,0.99,0.77,0,-5.4,-3.6,-10.59,0.22
"BUF","2007-10-20","2007020104","20072008","MTL","0",39.03,53.08,47.32,51.16,47.76,61.35,1.06,0.94,17.06,19,27.11,25.88,33.9,37.09,1.94,1.22,0.12,-1.93,1.23,-3.19,0.72
"BUF","2007-10-24","2007020127","20072008","CAR","0",35.95,17.38,22.71,35.87,37.79,38.22,1.01,4.81,9.86,33.56,22.68,40.54,31.06,51.12,1.91,3.1,-3.8,-23.7,-17.86,-20.06,-1.18
"BUF","2007-10-26","2007020142","20072008","FLA","0",38.47,52.31,49.48,50.58,48.15,57.85,2.07,1.89,19.7,20.11,23.66,23.12,30.25,32.57,1.26,0.92,0.18,-0.42,0.54,-2.32,0.34
"BUF","2007-10-27","2007020151","20072008","T.B","0",47.47,51.15,46.12,45.76,45.91,54.82,2.02,1.93,18.76,21.92,26.8,31.76,35.39,41.7,1.42,1.17,0.09,-3.16,-4.96,-6.3,0.25
"BUF","2007-11-01","2007020172","20072008","BOS","0",47.18,34.36,60.79,51.68,53.44,69.27,1.01,1.93,24.68,15.92,29.6,27.67,35.4,30.84,1.8,0.8,-0.92,8.76,1.93,4.56,1
"BUF","2007-11-02","2007020184","20072008","FLA","1",50.83,18.03,42.19,45.81,40.91,30.24,0.94,4.26,18.23,24.98,28.03,33.16,35.69,51.55,1.1,2.53,-3.33,-6.75,-5.13,-15.86,-1.44
"BUF","2007-11-05","2007020205","20072008","MTL","0",51.13,0,65.54,66.72,64.36,69.96,0,0.94,26.12,13.74,41.31,20.6,58.85,32.59,2.99,1.29,-0.94,12.39,20.7,26.26,1.71
"BUF","2007-11-07","2007020213","20072008","BOS","1",46.92,0,42.5,37.8,42.28,36.65,0,1.06,14.12,19.11,18.83,30.99,29.98,40.93,0.75,1.29,-1.06,-4.98,-12.16,-10.95,-0.54
