"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"OTT","2007-10-03","2007020005","20072008","TOR","0",39.08,52.17,51.87,50.87,48.1,48.28,3.08,2.83,21.11,19.59,31.39,30.32,39.16,42.26,1.68,1.8,0.26,1.52,1.07,-3.1,-0.12
"OTT","2007-10-04","2007020008","20072008","TOR","1",32.55,48.29,38.44,38.45,36.63,44,0.94,1.01,16.11,25.81,21.2,33.93,27.4,47.42,1.65,2.1,-0.07,-9.69,-12.74,-20.01,-0.45
"OTT","2007-10-06","2007020023","20072008","NYR","1",44.23,100,50.5,51.9,50.75,57.61,0.99,0,26.84,26.32,36.57,33.89,47.41,46.01,2.2,1.62,0.99,0.53,2.68,1.4,0.58
"OTT","2007-10-08","2007020037","20072008","N.J","1",52.97,48.85,53.05,48.06,43.14,46.53,1.93,2.02,31.24,27.64,35.46,38.32,46.73,61.59,2.16,2.48,-0.09,3.59,-2.86,-14.86,-0.32
"OTT","2007-10-10","2007020041","20072008","ATL","0",46.98,69.35,57.18,56.87,57.19,48.87,2.12,0.94,26.46,19.82,37.14,28.16,48.98,36.67,2.16,2.26,1.18,6.65,8.98,12.31,-0.1
"OTT","2007-10-11","2007020054","20072008","CAR","1",42.8,46.69,41.96,39.85,37.16,37.98,2.81,3.21,20.2,27.94,26.21,39.57,31.08,52.56,1.66,2.71,-0.4,-7.74,-13.36,-21.48,-1.05
"OTT","2007-10-13","2007020066","20072008","NYR","0",40.5,69.55,61.48,51.65,50.76,51.45,2.14,0.94,27.37,17.15,31.81,29.79,37.91,36.77,2.61,2.46,1.2,10.22,2.03,1.14,0.15
"OTT","2007-10-18","2007020094","20072008","MTL","1",44.48,73.98,57.28,59.95,60.68,65.18,2.88,1.01,27.28,20.35,40.58,27.12,54.48,35.3,2.84,1.52,1.87,6.93,13.47,19.18,1.32
"OTT","2007-10-20","2007020105","20072008","FLA","1",37.95,100,64.51,63.88,66.71,65.98,2.92,0,38.81,21.35,53.22,30.1,71.28,35.56,3.88,2,2.92,17.45,23.13,35.72,1.88
"OTT","2007-10-27","2007020147","20072008","N.J","0",50.03,100,46.08,50.23,50.35,60.71,2.12,0,22.05,25.8,30.65,30.36,39.19,38.64,1.97,1.28,2.12,-3.75,0.29,0.55,0.7
"OTT","2007-11-01","2007020176","20072008","ATL","1",46.22,70.76,66.33,56,55.03,59.87,4.9,2.02,27.54,13.98,32.02,25.16,47.25,38.62,1.76,1.18,2.87,13.56,6.86,8.63,0.58
"OTT","2007-11-03","2007020189","20072008","BOS","1",50.57,0,66.57,67.65,63.74,70.19,0,2.07,36.13,18.14,46.74,22.35,61.88,35.2,2.75,1.17,-2.07,17.99,24.39,26.68,1.58
"OTT","2007-11-04","2007020200","20072008","BOS","0",43.68,0,63.42,63.44,65.1,63.48,0,0.94,24.72,14.26,33.59,19.36,41.98,22.5,1.97,1.14,-0.94,10.46,14.23,19.47,0.84
"OTT","2007-11-06","2007020212","20072008","TOR","1",38.3,100,43.67,42.48,51.36,50.27,2.92,0,15.03,19.39,18.32,24.81,27.55,26.09,0.87,0.86,2.92,-4.36,-6.49,1.46,0.01
"OTT","2007-11-08","2007020225","20072008","WSH","1",42.37,30.45,47.26,50.64,47.95,64.52,0.94,2.14,19.64,21.92,29.52,28.78,35.8,38.86,1.56,0.86,-1.2,-2.28,0.74,-3.06,0.7
"OTT","2007-11-10","2007020234","20072008","MTL","1",48.45,100,49.54,46.25,47.36,41.13,1.88,0,25.41,25.87,33.57,39.01,47.15,52.42,1.54,2.2,1.88,-0.47,-5.44,-5.26,-0.66
"OTT","2007-11-15","2007020264","20072008","BUF","1",36.5,65.64,42.01,39.9,45.31,42.67,1.93,1.01,19.25,26.58,22.19,33.43,30.68,37.02,1.57,2.11,0.92,-7.33,-11.24,-6.35,-0.54
"OTT","2007-11-17","2007020279","20072008","TOR","0",47.15,0,59.64,59.09,54.7,55.38,0,0.99,19.56,13.24,33.44,23.15,44.06,36.49,2.14,1.72,-0.99,6.32,10.29,7.57,0.42
"OTT","2007-11-19","2007020294","20072008","MTL","0",38.98,77.4,49.44,44.8,50.48,53.51,3.21,0.94,23.78,24.32,29.76,36.68,50.32,49.36,2.34,2.03,2.28,-0.54,-6.91,0.96,0.31
"OTT","2007-11-21","2007020300","20072008","BUF","0",47.63,25.73,42.62,48.51,45.84,41.56,1.01,2.92,19.66,26.46,31.94,33.9,35.83,42.33,1.29,1.81,-1.91,-6.81,-1.96,-6.5,-0.52
"OTT","2007-11-22","2007020311","20072008","PIT","1",40.37,41.2,64.22,61.35,65.4,65.26,2.87,4.1,24.91,13.88,31.74,19.99,45,23.8,2.82,1.5,-1.23,11.03,11.75,21.19,1.32
"OTT","2007-11-24","2007020326","20072008","PHI","1",45.8,31.57,36.95,40.39,45.37,40.33,1.89,4.1,19.36,33.03,28.85,42.59,44.09,53.08,2.04,3.02,-2.21,-13.67,-13.73,-8.99,-0.98
"OTT","2007-11-28","2007020350","20072008","NYI","0",41.68,34.87,64.57,59.14,54.13,55.11,1.01,1.89,23.62,12.96,34.83,24.06,39.44,33.42,1.66,1.35,-0.88,10.66,10.77,6.02,0.31
"OTT","2007-11-29","2007020359","20072008","NSH","1",48.33,34.62,41.54,46.78,48.45,31.37,2.81,5.32,23.03,32.41,35.58,40.47,42.51,45.23,1.55,3.39,-2.5,-9.38,-4.89,-2.72,-1.84
"OTT","2007-12-01","2007020371","20072008","NYR","1",43.93,46.81,53.17,50.11,50.33,57.8,1.88,2.13,23.41,20.62,27.73,27.61,38.36,37.86,1.53,1.12,-0.26,2.79,0.12,0.5,0.41
"OTT","2007-12-04","2007020394","20072008","T.B","0",43.82,34.36,53.43,54.12,49.88,47.89,1.01,1.93,21.81,19.02,31.29,26.52,35.52,35.7,1.17,1.28,-0.92,2.8,4.77,-0.17,-0.1
"OTT","2007-12-05","2007020399","20072008","FLA","0",54.02,60.24,55.58,57.07,55.93,51.52,4.26,2.81,26.32,21.03,36.44,27.41,40.21,31.68,1.43,1.34,1.45,5.29,9.03,8.53,0.08
"OTT","2007-12-07","2007020417","20072008","DAL","0",36.52,69.35,50.28,53.29,62.55,54.79,2.12,0.94,13.01,12.86,19.82,17.37,33.13,19.84,1.12,0.92,1.18,0.15,2.45,13.29,0.2
"OTT","2007-12-12","2007020448","20072008","CAR","0",42.47,100,47.9,46.81,50.74,67.32,6.42,0,20.79,22.6,26.82,30.47,40.78,39.59,2.44,1.18,6.42,-1.82,-3.65,1.19,1.25
"OTT","2007-12-13","2007020456","20072008","PIT","0",48.87,51.71,47.5,46.02,47.36,36.19,1.01,0.94,20.8,22.99,25.16,29.51,36.7,40.8,1.05,1.85,0.07,-2.19,-4.35,-4.1,-0.8
"OTT","2007-12-15","2007020471","20072008","ATL","1",41.77,74.41,70.16,66.77,63.69,68.8,5.88,2.02,33.19,14.12,41.56,20.68,50.13,28.58,2.66,1.21,3.86,19.07,20.88,21.55,1.45
"OTT","2007-12-18","2007020487","20072008","BOS","0",46.43,69.35,49.14,48.18,45.83,55.98,2.12,0.94,20.95,21.69,27.71,29.81,33.11,39.13,1.57,1.23,1.18,-0.74,-2.1,-6.02,0.33
"OTT","2007-12-20","2007020504","20072008","ATL","0",45.1,53.08,45.01,49.34,55.14,42.36,2.12,1.88,26.28,32.11,37.98,39,53.78,43.75,2.13,2.89,0.25,-5.83,-1.02,10.03,-0.77
