"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"S.J","2007-10-04","2007020013","20072008","EDM","0",36.77,36.04,48.76,49.19,51.47,45.25,1.06,1.88,17.89,18.8,22.9,23.66,31.5,29.7,1.18,1.43,-0.82,-0.91,-0.76,1.8,-0.25
"S.J","2007-10-05","2007020020","20072008","VAN","0",36.73,77.35,65.43,63.99,57.05,63.14,3.2,0.94,22.99,12.15,27.68,15.58,36.59,27.55,1.62,0.94,2.26,10.84,12.11,9.04,0.67
"S.J","2007-10-07","2007020035","20072008","COL","0",39.55,20.39,32.14,37.61,32.1,42.64,1.01,3.95,9.44,19.94,16.37,27.16,18.95,40.08,1.41,1.9,-2.94,-10.5,-10.79,-21.13,-0.49
"S.J","2007-10-10","2007020047","20072008","CHI","0",46.02,0,58.97,58.28,55.32,61.51,0,0.94,21.23,14.78,23.37,16.73,28.26,22.82,1.91,1.2,-0.94,6.46,6.64,5.44,0.71
"S.J","2007-10-13","2007020075","20072008","BOS","1",41.5,0,47.95,54.16,54.55,50.21,0,2.12,16.58,18,30.41,25.74,45.52,37.92,1.59,1.58,-2.12,-1.42,4.67,7.59,0.01
"S.J","2007-10-15","2007020079","20072008","VAN","0",40.08,100,59.54,60.22,59.2,48.48,2.14,0,25.18,17.11,35.71,23.59,48.12,33.17,1.82,1.93,2.14,8.07,12.12,14.95,-0.11
"S.J","2007-10-18","2007020097","20072008","DET","1",40.53,31.15,52.7,49.38,47.49,35.24,0.94,2.07,19.44,17.45,23.32,23.9,32,35.38,0.93,1.7,-1.14,1.99,-0.58,-3.38,-0.78
"S.J","2007-10-20","2007020114","20072008","NSH","1",34.22,100,41.27,45.65,44.61,42.12,0.99,0,11.15,15.86,19.26,22.93,24.58,30.51,0.8,1.1,0.99,-4.72,-3.67,-5.94,-0.3
"S.J","2007-10-22","2007020119","20072008","CGY","0",45.47,53.31,57.27,55.16,53.42,67.44,1.07,0.94,15.9,11.87,20.37,16.56,27.32,23.82,1.48,0.71,0.13,4.04,3.81,3.5,0.76
"S.J","2007-10-26","2007020143","20072008","DET","0",44.95,0,24.42,29.11,31.07,25.73,0,4.9,9.35,28.95,14.97,36.46,19.28,42.78,0.87,2.51,-4.9,-19.6,-21.48,-23.5,-1.64
"S.J","2007-10-27","2007020145","20072008","CBJ","0",40.33,53.08,52.26,47.94,45.86,48.88,1.06,0.94,13.06,11.93,19.24,20.89,22.14,26.14,0.67,0.7,0.12,1.13,-1.65,-4,-0.03
"S.J","2007-10-29","2007020162","20072008","DAL","0",49.35,68.74,56.01,54.43,52.35,41.04,4.16,1.89,31.74,24.93,35.81,29.99,46.74,42.55,1.78,2.55,2.27,6.81,5.83,4.19,-0.78
"S.J","2007-11-02","2007020187","20072008","L.A","1",48.12,30.88,58.39,60.72,57.56,59.58,1.88,4.22,37.23,26.54,52.98,34.27,67.6,49.83,3.16,2.14,-2.33,10.69,18.7,17.77,1.02
"S.J","2007-11-03","2007020198","20072008","L.A","0",49.18,69.45,59.65,57.47,58.62,59.66,2.13,0.94,26.38,17.85,36.47,26.98,55.12,38.9,1.81,1.22,1.19,8.53,9.48,16.21,0.58
"S.J","2007-11-07","2007020220","20072008","DAL","1",35.52,0,63.42,64.81,64.31,60.03,0,2.13,15.56,8.98,25.22,13.7,33.7,18.71,1.33,0.89,-2.13,6.59,11.52,14.99,0.45
"S.J","2007-11-09","2007020233","20072008","ANA","0",46.37,36.13,50.13,44.93,43.6,51.47,1.06,1.88,17.93,17.84,23.52,28.83,30.23,39.11,1.27,1.2,-0.81,0.09,-5.31,-8.88,0.07
"S.J","2007-11-10","2007020244","20072008","ARI","1",47.88,73.02,53.41,54.47,52.41,66.1,2.87,1.06,21.6,18.84,34.3,28.67,45.03,40.89,1.58,0.81,1.81,2.76,5.63,4.14,0.77
"S.J","2007-11-12","2007020251","20072008","ARI","1",45.88,100,51.83,48.77,45.79,51.81,2.96,0,23.17,21.54,28.25,29.67,33.93,40.16,1.56,1.45,2.96,1.64,-1.42,-6.24,0.11
"S.J","2007-11-14","2007020260","20072008","DAL","0",47.25,62.99,53.82,46.96,41.92,49.88,3.19,1.88,20.37,17.48,23.75,26.82,28.52,39.51,1.32,1.32,1.32,2.89,-3.07,-10.99,-0.01
"S.J","2007-11-15","2007020269","20072008","ARI","0",45.57,100,68.06,60.11,59.3,67.7,4.27,0,24.93,11.7,32.09,21.29,42.29,29.02,1.82,0.87,4.27,13.23,10.8,13.27,0.95
"S.J","2007-11-17","2007020287","20072008","ANA","1",47.02,46.92,43.45,43.12,50.03,46.68,0.94,1.06,17.95,23.37,23.55,31.06,36.55,36.51,1.8,2.06,-0.12,-5.41,-7.51,0.04,-0.26
"S.J","2007-11-24","2007020336","20072008","L.A","1",47.83,46.92,63.8,67.52,62.63,54.83,0.94,1.06,21.79,12.36,30.53,14.69,42.55,25.39,1.55,1.28,-0.12,9.43,15.84,17.16,0.27
"S.J","2007-11-28","2007020356","20072008","L.A","1",42.93,47.11,56.23,60,57.18,67.23,0.94,1.06,22.91,17.83,35.6,23.73,51.28,38.41,2.52,1.23,-0.12,5.08,11.87,12.88,1.29
"S.J","2007-11-30","2007020370","20072008","COL","1",43.03,100,65.68,63.64,60.24,66.94,0.99,0,22.06,11.53,28.45,16.26,38.58,25.47,1.67,0.82,0.99,10.53,12.19,13.11,0.84
"S.J","2007-12-03","2007020390","20072008","COL","0",47.62,62.99,41.49,43.39,44.61,47.74,3.19,1.88,19.04,26.85,27.59,35.99,36.24,45,1.58,1.73,1.32,-7.81,-8.41,-8.76,-0.15
"S.J","2007-12-05","2007020402","20072008","DAL","0",47.5,53.08,61.72,62.29,57.78,78.19,2.12,1.88,24.25,15.04,34.01,20.59,41.86,30.59,2.17,0.61,0.25,9.21,13.42,11.27,1.56
"S.J","2007-12-07","2007020420","20072008","ARI","0",46.63,100,56.24,59.91,58.44,70.7,1.06,0,21.9,17.04,29.41,19.68,41.94,29.83,1.36,0.57,1.06,4.86,9.74,12.11,0.8
"S.J","2007-12-08","2007020429","20072008","BUF","1",41.6,18.28,31.65,33.77,34.62,31.07,0.94,4.22,13.01,28.09,16.68,32.71,22.08,41.7,1.1,2.43,-3.28,-15.08,-16.03,-19.62,-1.34
