"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"DAL","2007-10-03","2007020006","20072008","COL","0",50.62,20.56,52.06,59.66,57.34,43.12,1.01,3.91,23.39,21.54,37.87,25.6,47.62,35.42,1.34,1.76,-2.9,1.85,12.27,12.2,-0.43
"DAL","2007-10-05","2007020019","20072008","BOS","1",46.25,100,48.91,41.73,47.05,34.8,2.92,0,14.68,15.33,23.17,32.36,34.92,39.3,0.73,1.37,2.92,-0.65,-9.18,-4.38,-0.64
"DAL","2007-10-06","2007020029","20072008","NSH","0",37.87,25.73,53.21,59.16,57.08,57.71,1.01,2.92,19.51,17.16,27.97,19.31,34.78,26.15,2.1,1.54,-1.91,2.35,8.66,8.63,0.56
"DAL","2007-10-10","2007020049","20072008","L.A","1",40.83,74.55,48,45.57,48.32,44.24,2.96,1.01,18.01,19.51,25.58,30.56,34.85,37.27,1.47,1.85,1.95,-1.5,-4.98,-2.42,-0.38
"DAL","2007-10-12","2007020060","20072008","CGY","1",46.47,31.83,48.21,46.06,42.84,43.33,0.94,2.02,19.12,20.54,25.1,29.39,30.51,40.7,1.06,1.38,-1.08,-1.42,-4.29,-10.19,-0.33
"DAL","2007-10-13","2007020071","20072008","CHI","0",38.53,0,30.51,34.3,33.07,38.38,0,0,10.87,24.76,15.25,29.21,17.46,35.34,0.96,1.54,0,-13.89,-13.96,-17.88,-0.58
"DAL","2007-10-17","2007020085","20072008","CBJ","0",43.15,51.71,49.56,49.09,46.97,47.57,1.01,0.94,24.19,24.62,28.34,29.39,32.3,36.47,1.48,1.63,0.07,-0.43,-1.05,-4.17,-0.15
"DAL","2007-10-20","2007020110","20072008","ANA","1",41.05,100,60.94,60.89,52.54,64.36,0.99,0,14.72,9.44,22.04,14.16,27.86,25.17,1.08,0.6,0.99,5.28,7.88,2.69,0.48
"DAL","2007-10-25","2007020139","20072008","L.A","0",43.97,36.04,52.56,54.15,59.72,53.12,1.06,1.88,23.6,21.3,31.85,26.97,51.92,35.02,1.95,1.72,-0.82,2.3,4.89,16.9,0.23
"DAL","2007-10-27","2007020155","20072008","ARI","0",43.62,27.38,40.02,41.25,43.86,28.4,1.06,2.81,15.11,22.64,20.8,29.62,29.11,37.26,0.66,1.66,-1.75,-7.53,-8.82,-8.15,-1
