"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"MIN","2007-10-06","2007020030","20072008","CBJ","1",49.02,100,59.39,50.84,46.58,60.25,2.82,0,25.43,17.39,35.04,33.88,40.98,46.99,1.46,0.96,2.82,8.04,1.16,-6.01,0.5
"MIN","2007-10-10","2007020046","20072008","EDM","1",48.17,100,64.95,59.19,61.02,53.18,1.93,0,24.74,13.35,32,22.06,52.01,33.22,1.3,1.14,1.93,11.39,9.94,18.79,0.16
"MIN","2007-10-13","2007020074","20072008","ARI","0",44.3,52.89,46.93,49.65,49.26,35.66,1.06,0.94,16.87,19.08,25.81,26.17,32.42,33.4,0.88,1.59,0.12,-2.2,-0.36,-0.98,-0.71
"MIN","2007-10-14","2007020076","20072008","ANA","0",40.52,100,52.83,49.63,49.55,39.13,2.13,0,21.96,19.6,25.46,25.85,31.32,31.89,0.85,1.32,2.13,2.35,-0.38,-0.57,-0.47
"MIN","2007-10-16","2007020084","20072008","L.A","0",41.55,76.96,54.39,51.23,44.91,63.39,3.13,0.94,20.66,17.32,28.24,26.88,31.36,38.46,2.04,1.18,2.2,3.34,1.36,-7.1,0.86
"MIN","2007-10-20","2007020111","20072008","STL","0",35.9,69.45,47.58,42.68,47.91,35.78,2.13,0.94,17.9,19.72,22.22,29.84,29.81,32.41,0.85,1.52,1.19,-1.82,-7.62,-2.6,-0.67
"MIN","2007-10-21","2007020116","20072008","COL","1",40.52,48.29,52.02,42.98,50.55,35.7,0.94,1.01,19.74,18.21,24.59,32.61,39.35,38.5,1.03,1.85,-0.07,1.53,-8.03,0.85,-0.82
"MIN","2007-10-24","2007020130","20072008","CGY","0",36.12,21.95,26.08,29.01,37.32,32.7,1.07,3.81,5.42,15.37,9.04,22.12,17.25,28.97,0.57,1.18,-2.74,-9.95,-13.08,-11.72,-0.61
"MIN","2007-10-25","2007020137","20072008","EDM","0",43.8,58.45,50.77,54.5,55.6,64.39,4.05,2.88,20.18,19.57,31.99,26.71,41.87,33.44,2.66,1.47,1.17,0.61,5.28,8.43,1.19
"MIN","2007-10-28","2007020157","20072008","COL","0",49.87,0,37.33,42.89,45.52,37.3,0,1.89,16.02,26.89,26.07,34.71,36.74,43.98,1.05,1.76,-1.89,-10.87,-8.64,-7.23,-0.71
